2026-05-30 22:57:00 | pid=110162 alive=True | epoch=n/a progress=n/a loss=n/a | latest_ckpt_epoch=6 | gpu=1% mem=8092/12227MB power=52.47W temp=44C
2026-05-30 22:57:06 | pid=110162 alive=True | epoch=n/a progress=n/a loss=n/a | latest_ckpt_epoch=6 | gpu=42% mem=8079/12227MB power=63.92W temp=46C
2026-05-30 22:57:11 | pid=110162 alive=True | epoch=n/a progress=n/a loss=n/a | latest_ckpt_epoch=6 | gpu=1% mem=8159/12227MB power=43.87W temp=45C
2026-05-30 22:57:17 | pid=110162 alive=True | epoch=n/a progress=n/a loss=n/a | latest_ckpt_epoch=6 | gpu=5% mem=8584/12227MB power=61.01W temp=46C
2026-05-30 22:57:22 | pid=110162 alive=True | epoch=n/a progress=n/a loss=n/a | latest_ckpt_epoch=6 | gpu=1% mem=8533/12227MB power=52.51W temp=46C
2026-05-30 22:57:27 | pid=110162 alive=True | epoch=n/a progress=n/a loss=n/a | latest_ckpt_epoch=6 | gpu=16% mem=8277/12227MB power=56.00W temp=49C
2026-05-30 22:57:32 | pid=110162 alive=True | epoch=n/a progress=n/a loss=n/a | latest_ckpt_epoch=7 | gpu=56% mem=8256/12227MB power=63.18W temp=48C
2026-05-30 22:57:38 | pid=110162 alive=True | epoch=n/a progress=n/a loss=n/a | latest_ckpt_epoch=7 | gpu=1% mem=8280/12227MB power=55.64W temp=47C
2026-05-30 22:57:43 | pid=110162 alive=True | epoch=n/a progress=n/a loss=n/a | latest_ckpt_epoch=7 | gpu=1% mem=8270/12227MB power=25.17W temp=45C
2026-05-30 22:57:48 | pid=110162 alive=True | epoch=n/a progress=n/a loss=n/a | latest_ckpt_epoch=7 | gpu=9% mem=11510/12227MB power=28.06W temp=46C
2026-05-30 22:57:53 | pid=110162 alive=True | epoch=n/a progress=n/a loss=n/a | latest_ckpt_epoch=7 | gpu=79% mem=11756/12227MB power=51.22W temp=49C
2026-05-30 22:57:59 | pid=110162 alive=True | epoch=0 progress=5% loss=4.8500 | latest_ckpt_epoch=7 | gpu=31% mem=7724/12227MB power=63.52W temp=54C
