2026-06-10 16:12:03 | pid=8103 alive=True | epoch=n/a progress=n/a loss=n/a | latest_ckpt_epoch=n/a | gpu=2% mem=1755/12227MB power=15.50W temp=46C
2026-06-10 16:12:18 | pid=8103 alive=True | epoch=n/a progress=n/a loss=n/a | latest_ckpt_epoch=n/a | gpu=2% mem=1920/12227MB power=15.71W temp=46C
2026-06-10 16:12:33 | pid=8103 alive=True | epoch=0 progress=7% loss=4.8500 | latest_ckpt_epoch=n/a | gpu=1% mem=8162/12227MB power=61.85W temp=48C
2026-06-10 16:12:49 | pid=8103 alive=True | epoch=0 progress=40% loss=4.8400 | latest_ckpt_epoch=n/a | gpu=72% mem=8162/12227MB power=75.02W temp=52C
2026-06-10 16:13:04 | pid=8103 alive=True | epoch=0 progress=74% loss=4.8600 | latest_ckpt_epoch=n/a | gpu=1% mem=8162/12227MB power=69.85W temp=52C
2026-06-10 16:13:19 | pid=8103 alive=True | epoch=1 progress=5% loss=4.8300 | latest_ckpt_epoch=0 | gpu=2% mem=8164/12227MB power=48.38W temp=50C
2026-06-10 16:13:34 | pid=8103 alive=True | epoch=1 progress=35% loss=4.8100 | latest_ckpt_epoch=0 | gpu=47% mem=8240/12227MB power=81.62W temp=55C
2026-06-10 16:13:49 | pid=8103 alive=True | epoch=1 progress=72% loss=4.8000 | latest_ckpt_epoch=0 | gpu=38% mem=8170/12227MB power=69.97W temp=49C
2026-06-10 16:14:04 | pid=8103 alive=True | epoch=1 progress=100% loss=4.7700 | latest_ckpt_epoch=1 | gpu=2% mem=8243/12227MB power=35.69W temp=47C
2026-06-10 16:14:19 | pid=8103 alive=True | epoch=2 progress=28% loss=4.7600 | latest_ckpt_epoch=1 | gpu=5% mem=8251/12227MB power=49.03W temp=48C
2026-06-10 16:14:34 | pid=8103 alive=True | epoch=2 progress=65% loss=4.7300 | latest_ckpt_epoch=1 | gpu=12% mem=8165/12227MB power=49.92W temp=47C
2026-06-10 16:14:50 | pid=8103 alive=True | epoch=3 progress=2% loss=4.7000 | latest_ckpt_epoch=2 | gpu=8% mem=8152/12227MB power=48.44W temp=47C
2026-06-10 16:15:05 | pid=8103 alive=True | epoch=3 progress=47% loss=4.7300 | latest_ckpt_epoch=2 | gpu=1% mem=8152/12227MB power=69.88W temp=49C
