subject,pred_hr_a,pred_hr_b,same_hr,gt_hr_a,gt_hr_b,snr_a,snr_b,wave_corr,wave_l2,wave_max_abs
subject41,99.9099909990999,99.9099909990999,True,100.45004500450045,100.45004500450045,5.127855327134125,5.127855327134125,0.9999999999999999,0.0,0.0
subject42,97.74977497749775,97.74977497749775,True,97.20972097209722,97.20972097209722,7.785110627619911,7.785110627619911,1.0,0.0,0.0
subject43,99.36993699369938,99.36993699369938,True,99.9099909990999,99.9099909990999,8.829825424050497,8.829825424050497,1.0,0.0,0.0
subject44,79.92799279927993,79.92799279927993,True,80.46804680468047,80.46804680468047,5.4634260923784,5.4634260923784,1.0,0.0,0.0
subject45,111.25112511251126,111.25112511251126,True,111.25112511251126,111.25112511251126,3.8758227241924943,3.8758227241924943,1.0,0.0,0.0
subject46,93.42934293429343,93.42934293429343,True,92.88928892889288,92.88928892889288,2.858854694614392,2.858854694614392,0.9999999999999999,0.0,0.0
subject47,111.25112511251126,111.25112511251126,True,109.0909090909091,109.0909090909091,2.7117898139379273,2.7117898139379273,1.0,0.0,0.0
subject48,90.72907290729073,90.72907290729073,True,90.72907290729073,90.72907290729073,16.913095594674232,16.913095594674232,1.0,0.0,0.0
subject49,88.02880288028803,88.02880288028803,True,87.48874887488749,87.48874887488749,12.98139855376364,12.98139855376364,1.0,0.0,0.0
subject5,99.9099909990999,99.9099909990999,True,99.9099909990999,99.9099909990999,14.711826546230656,14.711826546230656,1.0,0.0,0.0
subject8,112.87128712871288,112.87128712871288,True,112.87128712871288,112.87128712871288,13.097428286664115,13.097428286664115,1.0,0.0,0.0
subject9,106.3906390639064,106.3906390639064,True,106.3906390639064,106.3906390639064,2.7521555282268877,2.7521555282268877,1.0,0.0,0.0
