subject,pred_hr_a,pred_hr_b,same_hr,gt_hr_a,gt_hr_b,snr_a,snr_b,wave_corr,wave_l2,wave_max_abs
subject41,99.9099909990999,99.9099909990999,True,100.45004500450045,100.45004500450045,5.127855327134125,5.154332175975293,0.9954117416080328,0.09549430757761002,0.8458328247070312
subject42,97.74977497749775,97.74977497749775,True,97.20972097209722,97.20972097209722,7.785110627619911,7.8029564291753015,0.9987120930887524,0.050593625754117966,0.2137279361486435
subject43,99.36993699369938,99.36993699369938,True,99.9099909990999,99.9099909990999,8.829825424050497,9.099951621794684,0.9969534422305898,0.07781409472227097,0.5833569169044495
subject44,79.92799279927993,79.92799279927993,True,80.46804680468047,80.46804680468047,5.4634260923784,5.599404043228315,0.998740827215214,0.050026051700115204,0.2667394280433655
subject45,111.25112511251126,111.25112511251126,True,111.25112511251126,111.25112511251126,3.8758227241924943,3.8975024694341176,0.9988104786525761,0.04862276837229729,0.4021797776222229
subject46,93.42934293429343,93.42934293429343,True,92.88928892889288,92.88928892889288,2.858854694614392,2.8953731816667445,0.9992596879003404,0.03835844248533249,0.3290124833583832
subject47,111.25112511251126,111.25112511251126,True,109.0909090909091,109.0909090909091,2.7117898139379273,2.712386085967395,0.9992767686055306,0.037913352251052856,0.19506090879440308
subject48,90.72907290729073,90.72907290729073,True,90.72907290729073,90.72907290729073,16.913095594674232,16.142875478349367,0.9899585046422841,0.14127092063426971,1.1493785381317139
subject49,88.02880288028803,88.02880288028803,True,87.48874887488749,87.48874887488749,12.98139855376364,13.090870546394974,0.9959918487098733,0.08925358206033707,0.7821118831634521
subject5,99.9099909990999,99.9099909990999,True,99.9099909990999,99.9099909990999,14.711826546230656,14.852832928168464,0.9992685424019672,0.038128361105918884,0.16954341530799866
subject8,112.87128712871288,112.87128712871288,True,112.87128712871288,112.87128712871288,13.097428286664115,12.53160581968987,0.997633108971656,0.06858713924884796,0.7335478067398071
subject9,106.3906390639064,106.3906390639064,True,106.3906390639064,106.3906390639064,2.7521555282268877,2.8318344394536736,0.9979881504107518,0.06323409825563431,0.29898324608802795
